Completion Note,Keywords for 1,Keywords for 2,Keywords for 3
"208v

7.00 amps each mag circuit 
17.00 amps mags combined 

10.00 amps heater 

Unit overheat 

Upon inspecting unit found that the mags were worn due to overheating 

Installed new mags. 

Installed new overheat reset switch. 

Tested unit all test passed at 0 faults 

Ran several cook cycles all oven functions working properly","['mag', 'amp', 'overheat', 'unit', 'new', '1000', '1700', '208v700', 'circuit', 'combine', 'cook', 'cycle', 'fault', 'function', 'heater', 'inspect', 'instal', 'installed', 'oven', 'pass', 'properly', 'reset', 'run', 'switch', 'test', 'wear', 'weare', 'work']","['1000 amp', '1700 amp', '208v700 amp', 'amp heater', 'amp mag', 'circuit 1700', 'combine 1000', 'cook cycle', 'cycle oven', 'fault run', 'function work', 'heater unit', 'inspect unit', 'instal new', 'installed new', 'mag circuit', 'mag combine', 'mag instal', 'mag weare', 'new mag', 'new overheat', 'oven function', 'overheat inspect', 'overheat installed', 'overheat reset', 'pass fault', 'reset switch', 'run cook', 'switch unit', 'test pass', 'unit mag', 'unit overheat', 'unit test', 'wear overheat', 'weare wear', 'work properly']","['1000 amp heater', '1700 amp mag', '208v700 amp mag', 'amp heater unit', 'amp mag circuit', 'amp mag combine', 'circuit 1700 amp', 'combine 1000 amp', 'cook cycle oven', 'cycle oven function', 'fault run cook', 'function work properly', 'heater unit overheat', 'inspect unit mag', 'instal new overheat', 'installed new mag', 'mag circuit 1700', 'mag combine 1000', 'mag instal new', 'mag weare wear', 'new mag instal', 'new overheat reset', 'oven function work', 'overheat inspect unit', 'overheat installed new', 'overheat reset switch', 'pass fault run', 'reset switch unit', 'run cook cycle', 'switch unit test', 'test pass fault', 'unit mag weare', 'unit overheat inspect', 'unit test pass', 'wear overheat installed', 'weare wear overheat']"
"208v

7.00 amps each mag circuit 
17.00 amps mags combined 

10.00 amps heater 

Unit overheat 

Upon inspecting unit found that the mags were worn due to overheating 

Installed new mags. 

Installed new overheat reset switch. 

Tested unit all test passed at 0 faults 

Ran several cook cycles all oven functions working properly","['mag', 'amp', 'overheat', 'unit', 'new', '1000', '1700', '208v700', 'circuit', 'combine', 'cook', 'cycle', 'fault', 'function', 'heater', 'inspect', 'instal', 'installed', 'oven', 'pass', 'properly', 'reset', 'run', 'switch', 'test', 'wear', 'weare', 'work']","['1000 amp', '1700 amp', '208v700 amp', 'amp heater', 'amp mag', 'circuit 1700', 'combine 1000', 'cook cycle', 'cycle oven', 'fault run', 'function work', 'heater unit', 'inspect unit', 'instal new', 'installed new', 'mag circuit', 'mag combine', 'mag instal', 'mag weare', 'new mag', 'new overheat', 'oven function', 'overheat inspect', 'overheat installed', 'overheat reset', 'pass fault', 'reset switch', 'run cook', 'switch unit', 'test pass', 'unit mag', 'unit overheat', 'unit test', 'wear overheat', 'weare wear', 'work properly']","['1000 amp heater', '1700 amp mag', '208v700 amp mag', 'amp heater unit', 'amp mag circuit', 'amp mag combine', 'circuit 1700 amp', 'combine 1000 amp', 'cook cycle oven', 'cycle oven function', 'fault run cook', 'function work properly', 'heater unit overheat', 'inspect unit mag', 'instal new overheat', 'installed new mag', 'mag circuit 1700', 'mag combine 1000', 'mag instal new', 'mag weare wear', 'new mag instal', 'new overheat reset', 'oven function work', 'overheat inspect unit', 'overheat installed new', 'overheat reset switch', 'pass fault run', 'reset switch unit', 'run cook cycle', 'switch unit test', 'test pass fault', 'unit mag weare', 'unit overheat inspect', 'unit test pass', 'wear overheat installed', 'weare wear overheat']"
"208v

Left oven 

8.00 amps each circuit 
17.90 mag amps combined 

11.00 heater amps 

Faults 
Constant key press 

Upon inspecting unit found that the oven screen froze on constant key press 

Reset of unit and calibrated screen. 

Tested unit all working properly 

No other issues found","['amp', 'unit', 'constant', 'key', 'oven', 'press', 'screen', '1100', '1790', '208vleft', '800', 'calibrate', 'circuit', 'combine', 'fault', 'freeze', 'heater', 'inspect', 'issue', 'mag', 'properly', 'reset', 'work']","['1100 heater', '1790 mag', '208vleft oven', '800 amp', 'amp circuit', 'amp combine', 'amp fault', 'calibrate screen', 'circuit 1790', 'combine 1100', 'constant key', 'fault constant', 'freeze constant', 'heater amp', 'inspect unit', 'key press', 'mag amp', 'oven 800', 'oven screen', 'press inspect', 'press reset', 'properly issue', 'reset unit', 'screen freeze', 'screen unit', 'unit calibrate', 'unit oven', 'unit work', 'work properly']","['1100 heater amp', '1790 mag amp', '208vleft oven 800', '800 amp circuit', 'amp circuit 1790', 'amp combine 1100', 'amp fault constant', 'calibrate screen unit', 'circuit 1790 mag', 'combine 1100 heater', 'constant key press', 'fault constant key', 'freeze constant key', 'heater amp fault', 'inspect unit oven', 'key press inspect', 'key press reset', 'mag amp combine', 'oven 800 amp', 'oven screen freeze', 'press inspect unit', 'press reset unit', 'reset unit calibrate', 'screen freeze constant', 'screen unit work', 'unit calibrate screen', 'unit oven screen', 'unit work properly', 'work properly issue']"
"208/
Cc 321900
Door and filter 
LM 4-3.9-8
RM 3.9-8.4
H 10.4
BF ok
RF 10-100 ok

When heating up food its not heating completely damaged studs and tray causing arcing frozen product temperature at 34 degrees frozen 

Tested unit all test passed informed store partner to adjust temperature TY","['frozen', 'heating', 'temperature', '10100', '104bf', '208cc', '321900door', '34', '3984h', '4398rm', 'adjust', 'arc', 'cause', 'completely', 'damage', 'degree', 'filter', 'food', 'informed', 'itis', 'lm', 'okrf', 'okwhen', 'partner', 'pass', 'product', 'store', 'stud', 'test', 'tray', 'ty', 'unit']","['10100 okwhen', '104bf okrf', '208cc 321900door', '321900door filter', '34 degree', '3984h 104bf', '4398rm 3984h', 'adjust temperature', 'arc frozen', 'cause arc', 'completely damage', 'damage stud', 'degree frozen', 'filter lm', 'food itis', 'frozen product', 'frozen unit', 'heating completely', 'heating food', 'informed store', 'itis heating', 'lm 4398rm', 'okrf 10100', 'okwhen heating', 'partner adjust', 'pass informed', 'product temperature', 'store partner', 'stud tray', 'temperature 34', 'temperature ty', 'test pass', 'tray cause', 'unit test']","['10100 okwhen heating', '104bf okrf 10100', '208cc 321900door filter', '321900door filter lm', '34 degree frozen', '3984h 104bf okrf', '4398rm 3984h 104bf', 'adjust temperature ty', 'arc frozen product', 'cause arc frozen', 'completely damage stud', 'damage stud tray', 'degree frozen unit', 'filter lm 4398rm', 'food itis heating', 'frozen product temperature', 'frozen unit test', 'heating completely damage', 'heating food itis', 'informed store partner', 'itis heating completely', 'lm 4398rm 3984h', 'okrf 10100 okwhen', 'okwhen heating food', 'partner adjust temperature', 'pass informed store', 'product temperature 34', 'store partner adjust', 'stud tray cause', 'temperature 34 degree', 'test pass informed', 'tray cause arc', 'unit test pass']"
"208/
Cc 321900
Door and filter 
LM 4-3.9-8
RM 3.9-8.4
H 10.4
BF ok
RF 10-100 ok

When heating up food its not heating completely damaged studs and tray causing arcing frozen product temperature at 34 degrees frozen 

Tested unit all test passed informed store partner to adjust temperature TY","['frozen', 'heating', 'temperature', '10100', '104bf', '208cc', '321900door', '34', '3984h', '4398rm', 'adjust', 'arc', 'cause', 'completely', 'damage', 'degree', 'filter', 'food', 'informed', 'itis', 'lm', 'okrf', 'okwhen', 'partner', 'pass', 'product', 'store', 'stud', 'test', 'tray', 'ty', 'unit']","['10100 okwhen', '104bf okrf', '208cc 321900door', '321900door filter', '34 degree', '3984h 104bf', '4398rm 3984h', 'adjust temperature', 'arc frozen', 'cause arc', 'completely damage', 'damage stud', 'degree frozen', 'filter lm', 'food itis', 'frozen product', 'frozen unit', 'heating completely', 'heating food', 'informed store', 'itis heating', 'lm 4398rm', 'okrf 10100', 'okwhen heating', 'partner adjust', 'pass informed', 'product temperature', 'store partner', 'stud tray', 'temperature 34', 'temperature ty', 'test pass', 'tray cause', 'unit test']","['10100 okwhen heating', '104bf okrf 10100', '208cc 321900door filter', '321900door filter lm', '34 degree frozen', '3984h 104bf okrf', '4398rm 3984h 104bf', 'adjust temperature ty', 'arc frozen product', 'cause arc frozen', 'completely damage stud', 'damage stud tray', 'degree frozen unit', 'filter lm 4398rm', 'food itis heating', 'frozen product temperature', 'frozen unit test', 'heating completely damage', 'heating food itis', 'informed store partner', 'itis heating completely', 'lm 4398rm 3984h', 'okrf 10100 okwhen', 'okwhen heating food', 'partner adjust temperature', 'pass informed store', 'product temperature 34', 'store partner adjust', 'stud tray cause', 'temperature 34 degree', 'test pass informed', 'tray cause arc', 'unit test pass']"
"Completed 1/18/22 @ 1215pm

Sn# 2006213090130 
Vac 208
8.3 L mag amps
8.3 R mag amps
10.8 Heater amps 
Error 

Notes
Faulty right microwave circuit
Replaced magnetron, diode and capacitor 
Then tested 
All tests pass 
Job completed","['complete', 'mag', '11822', '1215pmsn', '2006213090130', '20883', 'amp', 'amps108', 'amps83', 'capacitor', 'circuitreplaced', 'diode', 'error', 'heater', 'job', 'magnetron', 'microwave', 'notesfaulty', 'pass', 'right', 'test', 'vac']","['11822 1215pmsn', '1215pmsn 2006213090130', '2006213090130 vac', '20883 mag', 'amp error', 'amps108 heater', 'amps83 mag', 'capacitor test', 'circuitreplaced magnetron', 'complete 11822', 'diode capacitor', 'error notesfaulty', 'heater amp', 'job complete', 'mag amps108', 'mag amps83', 'magnetron diode', 'microwave circuitreplaced', 'notesfaulty right', 'pass job', 'right microwave', 'test pass', 'vac 20883']","['11822 1215pmsn 2006213090130', '1215pmsn 2006213090130 vac', '2006213090130 vac 20883', '20883 mag amps83', 'amp error notesfaulty', 'amps108 heater amp', 'amps83 mag amps108', 'capacitor test pass', 'circuitreplaced magnetron diode', 'complete 11822 1215pmsn', 'diode capacitor test', 'error notesfaulty right', 'heater amp error', 'mag amps108 heater', 'mag amps83 mag', 'magnetron diode capacitor', 'microwave circuitreplaced magnetron', 'notesfaulty right microwave', 'pass job complete', 'right microwave circuitreplaced', 'test pass job', 'vac 20883 mag']"
"Completed 1/18/22 @ 1215pm

Sn# 2006213090130 
Vac 208
8.3 L mag amps
8.3 R mag amps
10.8 Heater amps 
Error 

Notes
Faulty right microwave circuit
Replaced magnetron, diode and capacitor 
Then tested 
All tests pass 
Job completed","['complete', 'mag', '11822', '1215pmsn', '2006213090130', '20883', 'amp', 'amps108', 'amps83', 'capacitor', 'circuitreplaced', 'diode', 'error', 'heater', 'job', 'magnetron', 'microwave', 'notesfaulty', 'pass', 'right', 'test', 'vac']","['11822 1215pmsn', '1215pmsn 2006213090130', '2006213090130 vac', '20883 mag', 'amp error', 'amps108 heater', 'amps83 mag', 'capacitor test', 'circuitreplaced magnetron', 'complete 11822', 'diode capacitor', 'error notesfaulty', 'heater amp', 'job complete', 'mag amps108', 'mag amps83', 'magnetron diode', 'microwave circuitreplaced', 'notesfaulty right', 'pass job', 'right microwave', 'test pass', 'vac 20883']","['11822 1215pmsn 2006213090130', '1215pmsn 2006213090130 vac', '2006213090130 vac 20883', '20883 mag amps83', 'amp error notesfaulty', 'amps108 heater amp', 'amps83 mag amps108', 'capacitor test pass', 'circuitreplaced magnetron diode', 'complete 11822 1215pmsn', 'diode capacitor test', 'error notesfaulty right', 'heater amp error', 'mag amps108 heater', 'mag amps83 mag', 'magnetron diode capacitor', 'microwave circuitreplaced magnetron', 'notesfaulty right microwave', 'pass job complete', 'right microwave circuitreplaced', 'test pass job', 'vac 20883 mag']"
"Completed 1/18/22 @ 1215pm

Sn# 2006213090130 
Vac 208
8.3 L mag amps
8.3 R mag amps
10.8 Heater amps 
Error 

Notes
Faulty right microwave circuit
Replaced magnetron, diode and capacitor 
Then tested 
All tests pass 
Job completed","['complete', 'mag', '11822', '1215pmsn', '2006213090130', '20883', 'amp', 'amps108', 'amps83', 'capacitor', 'circuitreplaced', 'diode', 'error', 'heater', 'job', 'magnetron', 'microwave', 'notesfaulty', 'pass', 'right', 'test', 'vac']","['11822 1215pmsn', '1215pmsn 2006213090130', '2006213090130 vac', '20883 mag', 'amp error', 'amps108 heater', 'amps83 mag', 'capacitor test', 'circuitreplaced magnetron', 'complete 11822', 'diode capacitor', 'error notesfaulty', 'heater amp', 'job complete', 'mag amps108', 'mag amps83', 'magnetron diode', 'microwave circuitreplaced', 'notesfaulty right', 'pass job', 'right microwave', 'test pass', 'vac 20883']","['11822 1215pmsn 2006213090130', '1215pmsn 2006213090130 vac', '2006213090130 vac 20883', '20883 mag amps83', 'amp error notesfaulty', 'amps108 heater amp', 'amps83 mag amps108', 'capacitor test pass', 'circuitreplaced magnetron diode', 'complete 11822 1215pmsn', 'diode capacitor test', 'error notesfaulty right', 'heater amp error', 'mag amps108 heater', 'mag amps83 mag', 'magnetron diode capacitor', 'microwave circuitreplaced magnetron', 'notesfaulty right microwave', 'pass job complete', 'right microwave circuitreplaced', 'test pass job', 'vac 20883 mag']"
"Left Merrychef 
208 vac
8.3,8.3 amps 
10.6 amps 
No faults 

Notes 
Door open error 
Found loose door switch and loose door Handel
Tightened everything back down
All tests pass","['door', 'amp', 'loose', '106', '208', 'downall', 'error', 'fault', 'handeltightened', 'leave', 'merrychef', 'notes', 'open', 'pass', 'switch', 'test', 'vac8383']","['106 amp', '208 vac8383', 'amp 106', 'amp fault', 'door handeltightened', 'door open', 'door switch', 'downall test', 'error loose', 'fault notes', 'handeltightened downall', 'leave merrychef', 'loose door', 'merrychef 208', 'notes door', 'open error', 'switch loose', 'test pass', 'vac8383 amp']","['106 amp fault', '208 vac8383 amp', 'amp 106 amp', 'amp fault notes', 'door handeltightened downall', 'door open error', 'door switch loose', 'downall test pass', 'error loose door', 'fault notes door', 'handeltightened downall test', 'leave merrychef 208', 'loose door handeltightened', 'loose door switch', 'merrychef 208 vac8383', 'notes door open', 'open error loose', 'switch loose door', 'vac8383 amp 106']"
"Left Merrychef 
208 vac
8.3,8.3 amps 
10.6 amps 
No faults 

Notes 
Damaged cook plate and studs 
Tech replaced studs on-site 
Manager has to order cook plate 
All tests pass","['amp', 'cook', 'plate', 'stud', '106', '208', 'damage', 'fault', 'leave', 'manager', 'merrychef', 'notes', 'onsite', 'order', 'pass', 'replace', 'tech', 'test', 'vac8383']","['106 amp', '208 vac8383', 'amp 106', 'amp fault', 'cook plate', 'damage cook', 'fault notes', 'leave merrychef', 'manager order', 'merrychef 208', 'notes damage', 'onsite manager', 'order cook', 'plate stud', 'plate test', 'replace stud', 'stud onsite', 'stud tech', 'tech replace', 'test pass', 'vac8383 amp']","['106 amp fault', '208 vac8383 amp', 'amp 106 amp', 'amp fault notes', 'cook plate stud', 'cook plate test', 'damage cook plate', 'fault notes damage', 'leave merrychef 208', 'manager order cook', 'merrychef 208 vac8383', 'notes damage cook', 'onsite manager order', 'order cook plate', 'plate stud tech', 'plate test pass', 'replace stud onsite', 'stud onsite manager', 'stud tech replace', 'tech replace stud', 'vac8383 amp 106']"
"Nothing wrong with machine
Customer called wrong one","['wrong', 'machinecustomer']","['machinecustomer wrong', 'wrong machinecustomer']",['wrong machinecustomer wrong']
"Merrychef 
208 vac
8.3,8.4 amps 
10.6 amps 
No errors 

Notes 
Damaged cook plate and studs 
Tech replaced studs and had manager order cook plates 
All tests pass","['amp', 'cook', 'plate', 'stud', '106', '208', 'damage', 'error', 'manager', 'merrychef', 'notes', 'order', 'pass', 'replace', 'tech', 'test', 'vac8384']","['106 amp', '208 vac8384', 'amp 106', 'amp error', 'cook plate', 'damage cook', 'error notes', 'manager order', 'merrychef 208', 'notes damage', 'order cook', 'plate stud', 'plate test', 'replace stud', 'stud manager', 'stud tech', 'tech replace', 'test pass', 'vac8384 amp']","['106 amp error', '208 vac8384 amp', 'amp 106 amp', 'amp error notes', 'cook plate stud', 'cook plate test', 'damage cook plate', 'error notes damage', 'manager order cook', 'merrychef 208 vac8384', 'notes damage cook', 'order cook plate', 'plate stud tech', 'plate test pass', 'replace stud manager', 'stud manager order', 'stud tech replace', 'tech replace stud', 'vac8384 amp 106']"
"Merrychef
208ac
8.3,8.3amps
10.6 amps 
Mag fail 

Unit was not amping properly
Replaced magnatron
All test pass","['amp', 'ampe', 'fail', 'mag', 'magnatronall', 'merrychef208ac8383amps106', 'pass', 'properlyreplace', 'test', 'unit']","['amp mag', 'ampe properlyreplace', 'fail unit', 'mag fail', 'magnatronall test', 'merrychef208ac8383amps106 amp', 'properlyreplace magnatronall', 'test pass', 'unit ampe']","['amp mag fail', 'ampe properlyreplace magnatronall', 'fail unit ampe', 'mag fail unit', 'magnatronall test pass', 'merrychef208ac8383amps106 amp mag', 'properlyreplace magnatronall test', 'unit ampe properlyreplace']"
"Left Merrychef 
208 vac
8.3,8.3 amps 
10.8 amps 
No errors 

Notes
Door frame assy damaged causing door switches not to engage properly 
Replaced door frame assy and had to re caulk to make tight fit to engage door switches properly 
All tests pass","['door', 'amp', 'assy', 'engage', 'frame', 'properly', 'switch', '108', '208', 'caulk', 'cause', 'damage', 'error', 'fit', 'leave', 'make', 'merrychef', 'notesdoor', 'pass', 'replace', 'test', 'tight', 'vac8383']","['108 amp', '208 vac8383', 'amp 108', 'amp error', 'assy caulk', 'assy damage', 'caulk make', 'cause door', 'damage cause', 'door frame', 'door switch', 'engage door', 'engage properly', 'error notesdoor', 'fit engage', 'frame assy', 'leave merrychef', 'make tight', 'merrychef 208', 'notesdoor frame', 'properly replace', 'properly test', 'replace door', 'switch engage', 'switch properly', 'test pass', 'tight fit', 'vac8383 amp']","['108 amp error', '208 vac8383 amp', 'amp 108 amp', 'amp error notesdoor', 'assy caulk make', 'assy damage cause', 'caulk make tight', 'cause door switch', 'damage cause door', 'door frame assy', 'door switch engage', 'door switch properly', 'engage door switch', 'engage properly replace', 'error notesdoor frame', 'fit engage door', 'frame assy caulk', 'frame assy damage', 'leave merrychef 208', 'make tight fit', 'merrychef 208 vac8383', 'notesdoor frame assy', 'properly replace door', 'properly test pass', 'replace door frame', 'switch engage properly', 'switch properly test', 'tight fit engage', 'vac8383 amp 108']"
"Left Merrychef 
208 vac
8.3,8.3 amps 
10.8 amps 
No errors 

Notes
Door frame assy damaged causing door switches not to engage properly 
Replaced door frame assy and had to re caulk to make tight fit to engage door switches properly 
All tests pass","['door', 'amp', 'assy', 'engage', 'frame', 'properly', 'switch', '108', '208', 'caulk', 'cause', 'damage', 'error', 'fit', 'leave', 'make', 'merrychef', 'notesdoor', 'pass', 'replace', 'test', 'tight', 'vac8383']","['108 amp', '208 vac8383', 'amp 108', 'amp error', 'assy caulk', 'assy damage', 'caulk make', 'cause door', 'damage cause', 'door frame', 'door switch', 'engage door', 'engage properly', 'error notesdoor', 'fit engage', 'frame assy', 'leave merrychef', 'make tight', 'merrychef 208', 'notesdoor frame', 'properly replace', 'properly test', 'replace door', 'switch engage', 'switch properly', 'test pass', 'tight fit', 'vac8383 amp']","['108 amp error', '208 vac8383 amp', 'amp 108 amp', 'amp error notesdoor', 'assy caulk make', 'assy damage cause', 'caulk make tight', 'cause door switch', 'damage cause door', 'door frame assy', 'door switch engage', 'door switch properly', 'engage door switch', 'engage properly replace', 'error notesdoor frame', 'fit engage door', 'frame assy caulk', 'frame assy damage', 'leave merrychef 208', 'make tight fit', 'merrychef 208 vac8383', 'notesdoor frame assy', 'properly replace door', 'properly test pass', 'replace door frame', 'switch engage properly', 'switch properly test', 'tight fit engage', 'vac8383 amp 108']"
"Merrychef 
208 vac
8.3,8.3 amps 
10.8 amps 
E116 

Notes e116 error caused by faulty srb board. Tech replaced srb onsite.
All tests pass 
Manager needs ro order new cook plate 
It is arching and cook plate is deteriorating","['amp', 'cook', 'e116', 'plate', 'srb', '108', '208', 'arch', 'board', 'cause', 'deteriorate', 'error', 'faulty', 'manager', 'merrychef', 'need', 'new', 'note', 'onsiteall', 'order', 'pass', 'replace', 'ro', 'tech', 'test', 'vac8383']","['108 amp', '208 vac8383', 'amp 108', 'amp e116', 'arch cook', 'board tech', 'cause faulty', 'cook plate', 'e116 error', 'e116 note', 'error cause', 'faulty srb', 'manager need', 'merrychef 208', 'need ro', 'new cook', 'note e116', 'onsiteall test', 'order new', 'pass manager', 'plate arch', 'plate deteriorate', 'replace srb', 'ro order', 'srb board', 'srb onsiteall', 'tech replace', 'test pass', 'vac8383 amp']","['108 amp e116', '208 vac8383 amp', 'amp 108 amp', 'amp e116 note', 'arch cook plate', 'board tech replace', 'cause faulty srb', 'cook plate arch', 'cook plate deteriorate', 'e116 error cause', 'e116 note e116', 'error cause faulty', 'faulty srb board', 'manager need ro', 'merrychef 208 vac8383', 'need ro order', 'new cook plate', 'note e116 error', 'onsiteall test pass', 'order new cook', 'pass manager need', 'plate arch cook', 'replace srb onsiteall', 'ro order new', 'srb board tech', 'srb onsiteall test', 'tech replace srb', 'test pass manager', 'vac8383 amp 108']"
"MOD Sesen

Merrychef 
208 VAC
AMPS 7.9,8.0
HEATER AMPS 10.8
No Faults 

Notes:
Tech inspected oven and found worn/damaged cook cavity stubs arching 
Tech replaced stubs
Conducted Op Test
All Tests Passed","['108no', '208', '7980heater', 'amps', 'arch', 'cavity', 'cook', 'fault', 'inspect', 'mod', 'notestech', 'op', 'oven', 'pass', 'replace', 'sesenmerrychef', 'stub', 'stubsconducte', 'tech', 'testall', 'tests', 'vacamps', 'worndamage']","['108no fault', '208 vacamps', '7980heater amps', 'amps 108no', 'arch tech', 'cavity stub', 'cook cavity', 'fault notestech', 'inspect oven', 'mod sesenmerrychef', 'notestech inspect', 'op testall', 'oven worndamage', 'replace stubsconducte', 'sesenmerrychef 208', 'stub arch', 'stubsconducte op', 'tech replace', 'testall tests', 'tests pass', 'vacamps 7980heater', 'worndamage cook']","['108no fault notestech', '208 vacamps 7980heater', '7980heater amps 108no', 'amps 108no fault', 'arch tech replace', 'cavity stub arch', 'cook cavity stub', 'fault notestech inspect', 'inspect oven worndamage', 'mod sesenmerrychef 208', 'notestech inspect oven', 'op testall tests', 'oven worndamage cook', 'replace stubsconducte op', 'sesenmerrychef 208 vacamps', 'stub arch tech', 'stubsconducte op testall', 'tech replace stubsconducte', 'testall tests pass', 'vacamps 7980heater amps', 'worndamage cook cavity']"
"Touchscreen malfunction


trouble shooting done","['malfunctiontrouble', 'shooting', 'touchscreen']","['malfunctiontrouble shooting', 'touchscreen malfunctiontrouble']",['touchscreen malfunctiontrouble shooting']
"Mod alexa 
Left Merrychef 
208 vac
8.3,8.3 amps 
10.8 amps 
E101 error 

Notes 
Tech found blown fuse and bad capacitor on right side 
Tech replaced fuse and capacitor 
All tests pass","['amp', 'capacitor', 'fuse', 'tech', '108', '208', 'alexa', 'bad', 'blow', 'e101', 'error', 'left', 'merrychef', 'mod', 'notes', 'pass', 'replace', 'right', 'test', 'vac8383']","['108 amp', '208 vac8383', 'alexa left', 'amp 108', 'amp e101', 'bad capacitor', 'blow fuse', 'capacitor right', 'capacitor test', 'e101 error', 'error notes', 'fuse bad', 'fuse capacitor', 'left merrychef', 'merrychef 208', 'mod alexa', 'notes tech', 'replace fuse', 'right tech', 'tech blow', 'tech replace', 'test pass', 'vac8383 amp']","['108 amp e101', '208 vac8383 amp', 'alexa left merrychef', 'amp 108 amp', 'amp e101 error', 'bad capacitor right', 'blow fuse bad', 'capacitor right tech', 'capacitor test pass', 'e101 error notes', 'error notes tech', 'fuse bad capacitor', 'fuse capacitor test', 'left merrychef 208', 'merrychef 208 vac8383', 'mod alexa left', 'notes tech blow', 'replace fuse capacitor', 'right tech replace', 'tech blow fuse', 'tech replace fuse', 'vac8383 amp 108']"
"Mod alexa 
Left Merrychef 
208 vac
8.3,8.3 amps 
10.8 amps 
E101 error 

Notes 
Tech found blown fuse and bad capacitor on right side 
Tech replaced fuse and capacitor 
All tests pass","['amp', 'capacitor', 'fuse', 'tech', '108', '208', 'alexa', 'bad', 'blow', 'e101', 'error', 'left', 'merrychef', 'mod', 'notes', 'pass', 'replace', 'right', 'test', 'vac8383']","['108 amp', '208 vac8383', 'alexa left', 'amp 108', 'amp e101', 'bad capacitor', 'blow fuse', 'capacitor right', 'capacitor test', 'e101 error', 'error notes', 'fuse bad', 'fuse capacitor', 'left merrychef', 'merrychef 208', 'mod alexa', 'notes tech', 'replace fuse', 'right tech', 'tech blow', 'tech replace', 'test pass', 'vac8383 amp']","['108 amp e101', '208 vac8383 amp', 'alexa left merrychef', 'amp 108 amp', 'amp e101 error', 'bad capacitor right', 'blow fuse bad', 'capacitor right tech', 'capacitor test pass', 'e101 error notes', 'error notes tech', 'fuse bad capacitor', 'fuse capacitor test', 'left merrychef 208', 'merrychef 208 vac8383', 'mod alexa left', 'notes tech blow', 'replace fuse capacitor', 'right tech replace', 'tech blow fuse', 'tech replace fuse', 'vac8383 amp 108']"
"Loaner in place 

Affected oven removed

Oven needs parts

MerryChef:P30Z1415
TOSHIBA MAGNETRON 2M303Н
MerryChef:PSR141
e2s ×2 STIRR&P/PLATE KIT DUAL MAG KIT
MerryChef:PSR317
e2s WIGUIDE&P/PLATE KIT

Menu Updated

MOD Peach

Merrychef 
VAC 208
AMPS 9.0,9.1
COMBINED 18.1
HEATER AMPS 10.9
Faults: Food Not Cooking Properly/Loud Noises

Notes:
Tech observed food not cooking properly and discovered contamination in waveguides and damaged magnetrons
Tech Replaced microwave components 
Conducted Op Test 
All Tests Passed","['cooking', 'food', '109faults', '181heater', '208amps', '2m303нmerrychefpsr141e2s', '9091combined', 'affected', 'amps', 'component', 'conduct', 'contamination', 'damage', 'discover', 'dual', 'kit', 'kitmenu', 'kitmerrychefpsr317e2s', 'loaner', 'mag', 'magnetron', 'magnetronstech', 'microwave', 'need', 'noisesnotestech', 'observed', 'op', 'oven', 'partsmerrychefp30z1415toshiba', 'pass', 'peachmerrychef', 'place', 'properly', 'properlyloud', 'removedoven', 'replace', 'stirrpplate', 'test', 'tests', 'updatedmod', 'vac', 'waveguide', 'wiguidepplate']","['109faults food', '181heater amps', '208amps 9091combined', '2m303нmerrychefpsr141e2s stirrpplate', '9091combined 181heater', 'affected oven', 'amps 109faults', 'component conduct', 'conduct op', 'contamination waveguide', 'cooking properly', 'cooking properlyloud', 'damage magnetronstech', 'discover contamination', 'dual mag', 'food cooking', 'kit dual', 'kitmenu updatedmod', 'kitmerrychefpsr317e2s wiguidepplate', 'loaner place', 'mag kitmerrychefpsr317e2s', 'magnetron 2m303нmerrychefpsr141e2s', 'magnetronstech replace', 'microwave component', 'need partsmerrychefp30z1415toshiba', 'noisesnotestech observed', 'observed food', 'op test', 'oven removedoven', 'partsmerrychefp30z1415toshiba magnetron', 'peachmerrychef vac', 'place affected', 'properly discover', 'properlyloud noisesnotestech', 'removedoven need', 'replace microwave', 'stirrpplate kit', 'test tests', 'tests pass', 'updatedmod peachmerrychef', 'vac 208amps', 'waveguide damage', 'wiguidepplate kitmenu']","['109faults food cooking', '181heater amps 109faults', '208amps 9091combined 181heater', '2m303нmerrychefpsr141e2s stirrpplate kit', '9091combined 181heater amps', 'affected oven removedoven', 'amps 109faults food', 'component conduct op', 'conduct op test', 'contamination waveguide damage', 'cooking properly discover', 'cooking properlyloud noisesnotestech', 'damage magnetronstech replace', 'discover contamination waveguide', 'dual mag kitmerrychefpsr317e2s', 'food cooking properly', 'food cooking properlyloud', 'kit dual mag', 'kitmenu updatedmod peachmerrychef', 'kitmerrychefpsr317e2s wiguidepplate kitmenu', 'loaner place affected', 'mag kitmerrychefpsr317e2s wiguidepplate', 'magnetron 2m303нmerrychefpsr141e2s stirrpplate', 'magnetronstech replace microwave', 'microwave component conduct', 'need partsmerrychefp30z1415toshiba magnetron', 'noisesnotestech observed food', 'observed food cooking', 'op test tests', 'oven removedoven need', 'partsmerrychefp30z1415toshiba magnetron 2m303нmerrychefpsr141e2s', 'peachmerrychef vac 208amps', 'place affected oven', 'properly discover contamination', 'properlyloud noisesnotestech observed', 'removedoven need partsmerrychefp30z1415toshiba', 'replace microwave component', 'stirrpplate kit dual', 'test tests pass', 'updatedmod peachmerrychef vac', 'vac 208amps 9091combined', 'waveguide damage magnetronstech', 'wiguidepplate kitmenu updatedmod']"
